id,name,level,actionGroupId,vibrate,hurtEffect,lifetime,movePathType,trackingType,bornOffset,bornLocationType,speed,hitTestMode,triggerHitTestOffset,triggerHitTestRange,hitTestOffset,hitTestRange,disappearMode,hitSpace,isHitTarget,targetNum,TargetKillStateId,TargetState,DefenderOffPos,BringState,hurtMoveTime,hurtActionTime,hitDelay,hitStop,damageDelay,attackRate,upgradeFactor,attackRule,soundHurt,bringShootIdsBoom,bringShootIdsEnd,soundSkill,soundSkillDelay,hurtBuffId,learnId
STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,ARRAY,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
5006,巨猿用 乾坤一棍,1,5006,0|0,8,420,2,1,-100|60|0,0,0|0|0,0,,,-100|0|0,200|120|80|0,2,80,1,1,-1,-1,60|0|120;60|0|120;60|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,,,,,
5020,扔炸弹,1,5020,0|0,8,600,1,1,0|60|0,0,0|0|0,0,,,100|0|0,280|120|240|0,2,80,1,1,-1,-1,60|0|120;60|0|120;60|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,,,,,
5021,扔,1,5021,0|0,8,480,1,1,0|60|0,0,0.3|0|0,0,,,0|0|0,0|0|0|0,2,80,1,1,-1,-1,60|0|120;60|0|120;60|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,5022,,,,
5022,炸弹,1,5022,0|0,8,600,1,1,0|0|0,0,0|0|0,0,,,100|0|0,280|120|240|0,2,80,1,1,-1,-1,60|0|120;60|0|120;60|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,,,,,
5023,战车扔炸弹1,1,5023,0|0,8,480,1,1,0|60|0,0,-0.4|0|0,0,,,0|0|0,0|0|0|0,2,80,1,1,-1,-1,60|0|120;60|0|120;60|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,5022,,,,
5024,战车扔炸弹2,1,5024,0|0,8,480,1,1,0|60|0,0,0|0|0,0,,,0|0|0,0.5|0|0|0,2,80,1,1,-1,-1,60|0|120;60|0|120;60|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,5022,,,,
5025,战车扔炸弹3,1,5025,0|0,8,480,1,1,0|60|0,0,0.4|0|0,0,,,0|0|0,0.5|0|0|0,2,80,1,1,-1,-1,60|0|120;60|0|120;60|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,5022,,,,
5026,战车扔炸弹4,1,5026,0|0,8,480,1,1,0|60|0,0,0.8|0|0,0,,,0|0|0,0.5|0|0|0,2,80,1,1,-1,-1,60|0|120;60|0|120;60|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,5022,,,,
5050,小妖火球1,0,5050,0|0,9,1200,1,1,20|25|0,0,0.2|0.2|0,1,,,0|0|0,150|50|120|0,1,50,1,1,3,-1,40|0|0;40|0|5;40|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_fire1,,,,,,
5051,小妖火球2,0,5051,0|0,9,1200,1,1,20|25|0,0,0.25|0.1|0,1,,,0|0|0,150|50|120|0,1,50,1,1,3,-1,40|0|0;40|0|5;40|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_fire1,,,,,,
5052,小妖火球3,0,5052,0|0,9,1200,1,1,20|25|0,0,0.25|-0.1|0,1,,,0|0|0,150|50|120|0,1,50,1,1,3,-1,40|0|0;40|0|5;40|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_fire1,,,,,,
5053,小妖火球1,0,5053,0|0,9,1200,1,1,20|25|0,0,0.2|-0.2|0,1,,,0|0|0,150|50|120|0,1,50,1,1,3,-1,40|0|0;40|0|5;40|0|5,7|10|10,0|50,700,0,110,0,1,0,1,sounds_fire1,,,,,,
5055,崩将军用震地1,1,5055,0|0,8,700,1,1,-140|50|-600,0,0|0|0,0,,,0|-120|0,300|120|340|0,2,80,1,1,-1,-1,400|0|120;400|0|120;400|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,,,,,
5056,崩将军用震地2,1,5056,0|0,8,700,1,1,-260|120|-600,0,0|0|0,0,,,0|-120|0,300|120|340|0,2,80,1,1,-1,-1,400|0|120;400|0|120;400|0|120,10|10|10,0|50,700,0,110,0,1,0,1,sounds_explosion,,,,,,
